bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
49,Profound leadingedge emulation,Daniel Murphy,70,0-914403-13-3,978-1-224-52605-7,vi,692,14829,685,2020-12-03,"Shaw, Wilson and Taylor"
50,Programmable demand-driven leverage,Robert Smith,9,1-77759-193-7,978-0-689-53010-4,af,995,35889,456,2020-04-29,Miller-Huber
51,Enhanced real-time flexibility,Bethany Holmes,81,0-09-477017-4,978-1-175-63662-1,bho,392,65523,780,2022-11-06,"Simmons, Anderson and Herrera"
52,Synchronized maximized interface,Dalton Ford,46,1-4346-2710-1,978-1-4607-2048-6,fa,774,43459,555,2022-05-26,"Smith, Bennett and Coleman"
53,Right-sized high-level Internet solution,Rachel Price,56,1-69412-101-1,978-1-201-10019-5,ja,239,71707,966,2022-05-01,"Lozano, Carlson and Bennett"
54,Right-sized methodical flexibility,Tammy Taylor,77,0-9798048-4-1,978-0-09-572566-8,ur,885,2851,432,2022-03-29,Lewis Inc
55,Vision-oriented global Graphic Interface,Kara Olson,3,1-962377-00-8,978-1-966290-05-6,sl,295,96657,913,2020-12-01,Nunez LLC
56,Integrated scalable pricing structure,Jeremy Peterson,81,0-394-05739-2,978-0-357-26120-0,quz,340,34192,836,2022-01-30,Russell-Smith
57,Centralized object-oriented challenge,Trevor Nguyen,93,0-261-06450-9,978-0-627-17627-2,sl,926,75959,476,2021-03-08,Bullock-Lee
58,Switchable encompassing complexity,Brianna Perez,33,0-12-910913-4,978-1-5399-3832-3,oc,896,75012,165,2020-06-12,"Ramirez, Acosta and Choi"
59,Organic secondary instruction set,Shelley Bauer,12,0-381-54252-1,978-0-610-68684-9,mhr,457,35071,953,2020-08-14,Peterson PLC
60,Business-focused grid-enabled info-mediaries,Lisa Mendoza,91,1-283-33626-X,978-0-215-07429-4,en,893,9473,636,2020-09-06,"Williams, Monroe and Ramirez"
61,Secured 24hour algorithm,Richard Graham,91,0-240-08673-2,978-1-244-81581-0,de,350,50741,722,2021-04-12,Wheeler-Meyer
62,Universal background collaboration,Melissa Franklin,47,0-07-904133-7,978-0-475-25424-5,fur,682,63883,304,2022-06-02,Barnes-Fleming
63,User-centric interactive migration,William Stevenson,65,0-9798059-6-1,978-0-631-34175-8,gd,748,84344,677,2022-11-18,"Walsh, Mcintosh and Lewis"
64,Fully-configurable attitude-oriented monitoring,Tracey Butler,38,1-214-29333-6,978-1-60817-602-1,nr,34,81708,649,2021-03-20,"Myers, Wood and Ellis"
65,Business-focused homogeneous encryption,Kristina Gonzales,64,1-347-90590-1,978-1-71074-024-0,ca,565,15698,264,2022-08-30,"Rhodes, Wilson and Baker"
66,Optional interactive methodology,John Ortiz,47,0-05-608487-0,978-0-7101-8858-8,mni,976,88219,890,2022-06-26,Russell-Archer
67,Multi-layered holistic support,Kevin Sanchez,72,0-291-55780-5,978-0-915420-19-3,gu,467,56690,15,2021-04-08,Byrd and Sons
68,Virtual intermediate secured line,Amy Taylor,78,1-4122-7100-2,978-0-396-87727-1,km,606,10117,786,2022-04-06,Gates PLC
69,Devolved disintermediate migration,Debra Austin,52,0-417-48651-0,978-1-921028-06-9,lb,31,99342,885,2020-07-25,"Fowler, Rasmussen and Clark"
70,Integrated high-level forecast,Brittany Taylor,83,0-06-124285-3,978-0-490-74914-6,iu,987,54879,138,2021-07-25,"Robertson, Hammond and Short"
71,Compatible coherent ability,Patrick Patel,1,0-643-65252-3,978-1-4517-7283-8,es,761,90376,876,2022-12-25,"Lopez, Martinez and Gibbs"
72,Synergistic incremental concept,Billy Sanders,80,0-537-45777-1,978-0-06-964934-1,sw,683,96560,762,2022-10-01,"Freeman, Adams and Small"
73,Progressive exuding methodology,Cindy Young,78,0-9729065-0-9,978-0-05-566681-9,mai,64,72267,706,2022-09-13,Fernandez PLC
74,Multi-tiered eco-centric orchestration,Brenda Holland,82,0-06-197859-0,978-1-373-61717-0,az,800,90343,740,2020-01-29,Castaneda Inc
75,Monitored attitude-oriented success,Heather Johnson,25,0-517-01051-8,978-1-4313-2707-2,yi,684,5835,642,2020-02-28,"Spencer, Harvey and Foster"
76,Virtual local project,Melanie Scott,14,0-545-94700-6,978-0-510-92671-7,sc,388,14170,582,2021-11-15,Galloway and Sons
77,Synergistic upward-trending functionalities,Diane Watts,15,1-225-50091-5,978-1-207-58312-1,tig,23,88450,843,2021-03-20,Bass and Sons
78,Phased global throughput,Kevin Petersen,5,0-462-90190-4,978-1-172-39803-4,sl,180,29632,400,2020-08-13,"Johnson, Ramsey and Munoz"
79,Upgradable background time-frame,Jessica Anderson,50,0-9732797-6-1,978-0-07-853107-1,nn,730,89230,203,2021-08-11,May-Johnson
80,Open-architected solution-oriented functionalities,Angela Sellers,19,0-492-77098-0,978-1-86733-097-4,aa,394,94931,59,2021-06-06,Lawrence-Gardner
81,Innovative object-oriented hierarchy,Brandon Mills,75,1-309-47405-2,978-1-82634-880-4,mn,603,278,904,2020-02-18,Moore Group
82,Implemented encompassing instruction set,John Murray,69,1-4175-2876-1,978-1-67303-294-9,fil,405,28482,783,2021-07-14,"Thomas, Chandler and Martinez"
83,Future-proofed value-added paradigm,Steven Lee MD,26,0-313-79489-8,978-0-7441-9498-2,ia,733,57891,140,2022-03-13,"Chaney, Taylor and Webb"
84,Team-oriented tertiary utilization,George Combs,76,1-964848-82-2,978-1-4659-2011-9,gez,414,85687,230,2020-12-18,Wilson-Yates
85,Synchronized multimedia extranet,Rodney Chapman,86,1-104-75945-4,978-0-85350-286-9,ps,41,18433,577,2020-11-10,Washington LLC
86,Optional upward-trending approach,Lisa Williams,67,1-366-14666-2,978-1-57982-615-4,eo,82,8285,621,2021-06-12,Larson LLC
87,Re-engineered national superstructure,Charles Ortega,11,1-4877-1693-1,978-1-189-99156-3,gez,620,23071,205,2021-01-07,"Allen, Young and Edwards"
88,Pre-emptive composite interface,Kelly Pacheco,10,0-561-96362-2,978-1-65768-588-8,wae,468,82092,791,2020-02-18,"Carter, Manning and Roth"
89,Seamless cohesive moderator,Mark Bowen,26,0-07-512823-3,978-0-915862-69-6,hr,827,84524,197,2020-11-10,Young-Cross
90,Networked neutral standardization,Kelly Barnes,88,1-118-91518-6,978-1-04-551477-6,doi,430,12806,937,2020-09-01,Cruz-Williams
91,Progressive explicit framework,Krystal Castro,68,0-05-529024-8,978-0-257-93341-2,eo,705,87630,74,2022-06-26,Santiago-Harmon
92,User-friendly modular application,David Cook,78,1-9815-1295-0,978-1-4782-0907-2,af,80,3629,69,2020-04-14,Harris-Ramirez
93,Reduced demand-driven knowledgebase,Julia Yoder,76,1-227-00199-1,978-0-242-54853-9,wa,372,46812,969,2020-01-01,"Bell, Rodriguez and Oliver"
94,Synchronized foreground service-desk,Mr. Paul Davis,18,0-7264-4820-6,978-0-19-643105-5,oc,611,62265,415,2021-03-19,Jones-Fisher
95,Networked dynamic forecast,Victoria Hall,44,1-4408-9902-9,978-1-77821-698-5,fur,354,54133,357,2021-01-14,Conley Group
96,Grass-roots asynchronous capacity,Elizabeth Lee,33,0-88371-485-X,978-1-66930-314-5,sid,105,13087,606,2021-10-23,Jordan-Patel
97,Mandatory transitional instruction set,Jimmy Rodgers,95,0-89411-451-4,978-0-18-599972-6,pap,224,2045,848,2023-01-22,Ryan PLC
98,Mandatory intermediate success,Stephen Collins,38,1-324-99624-2,978-1-910439-65-4,bho,288,32728,112,2022-03-11,Andrews PLC
99,Organic leadingedge firmware,David Jacobs,69,0-240-28086-5,978-1-69636-934-3,pl,546,22421,203,2020-12-24,Carr-Vaughn
100,Ameliorated cohesive customer loyalty,Matthew Christensen,71,0-273-81542-3,978-0-8209-9205-1,uz,782,55937,157,2020-01-03,Moore PLC
101,Multi-layered next generation service-desk,Roberto Davidson,70,1-9800-0488-9,978-0-411-90305-3,ast,420,37963,994,2020-11-15,Smith-Rogers
102,Organized logistical approach,Brian Nunez,61,0-01-698798-5,978-1-56075-542-5,yue,334,75450,847,2020-11-22,Mcgee-Hodges
103,De-engineered bandwidth-monitored workforce,Sylvia Smith,23,1-4446-0488-0,978-0-627-12546-1,ro,846,11906,435,2020-05-28,"Fischer, Reid and Bailey"
104,Multi-layered composite flexibility,Ashley Wade,75,0-516-37521-0,978-1-72299-941-4,ss,737,12932,921,2021-08-24,Orozco Ltd
105,Pre-emptive transitional project,Michelle Barrett,21,0-9835834-5-5,978-0-8310-1669-2,br,702,65392,609,2020-08-30,Collins Inc
106,Streamlined tertiary algorithm,Randy Garrett,35,1-399-29048-7,978-0-7595-2268-8,bho,628,53554,887,2021-12-02,Franklin-Garrison
107,Multi-layered multimedia hierarchy,Wesley Jones,80,1-72250-387-4,978-1-300-41609-8,ps,33,86685,892,2022-09-01,Weiss-Cox
108,Centralized neutral access,Mary Powell,17,1-114-81859-3,978-1-187-58672-3,kk,297,94106,625,2021-07-20,Collins-Mcgee
109,Organized empowering Graphic Interface,Jacob Black,69,0-16-071689-6,978-0-464-21808-1,af,90,62386,662,2022-09-17,White-Morrow
110,Seamless modular hierarchy,Bobby Nguyen,29,0-683-64733-4,978-0-520-28371-8,yue,939,63548,800,2022-09-09,Stevens-Jordan
111,Robust multi-tasking portal,Mario Coleman MD,63,1-5299-0334-3,978-1-258-43801-2,oc,945,96859,167,2020-01-15,"Hanson, Garcia and Randall"
112,Mandatory zero administration challenge,Kevin Stone,30,1-63236-644-4,978-0-7758-1459-0,ko,18,49599,77,2021-03-23,"Smith, Cole and Yates"
113,User-centric modular extranet,Elizabeth Townsend,6,0-635-87826-7,978-0-367-75145-6,ur,951,89650,297,2020-02-02,Hughes Inc
114,Proactive system-worthy parallelism,Tasha Mitchell,30,1-65950-438-4,978-1-08-668765-1,uk,571,28306,412,2021-11-11,Cole LLC
115,Cloned demand-driven approach,Dr. Adam Gonzalez,95,0-380-94925-3,978-1-85542-974-1,hsb,746,73843,768,2022-10-27,Allen and Sons
116,Organized client-driven open architecture,Kimberly Johnson,26,1-4191-4312-3,978-0-7531-8578-0,mi,873,76892,271,2020-01-07,"Roberts, Allen and Knapp"
117,Streamlined explicit data-warehouse,Aaron Baker,41,1-09-547704-8,978-0-12-119491-8,unm,612,49554,362,2022-05-23,Anderson-Taylor
118,Profound content-based middleware,Paul Rosario,29,0-7099-9046-4,978-0-8459-9853-3,li,461,42217,459,2021-11-10,Kelley LLC
119,User-friendly empowering definition,James Smith,78,0-07-800758-5,978-0-8116-2780-1,tr,485,53437,852,2022-03-10,"Smith, Johnson and Anderson"
120,Right-sized context-sensitive support,Tracy David,99,0-13-381275-8,978-1-357-11348-3,ts,733,50340,219,2021-05-28,Chapman-Smith
121,Implemented multi-tasking interface,Katelyn Smith,74,0-263-95883-3,978-1-81425-675-3,bn,597,95303,91,2022-08-13,Sparks-Rowe
122,Ameliorated 24hour strategy,Anthony Stanley,91,0-06-715841-2,978-0-348-69998-2,csb,362,78265,994,2021-01-09,Mcdaniel Ltd
123,Grass-roots full-range adapter,Roger Bennett,14,0-14-227916-1,978-0-926496-76-7,el,700,87845,276,2022-09-26,"Campbell, Jefferson and Wyatt"
124,Self-enabling upward-trending pricing structure,Stephanie Bishop,91,0-7683-1821-1,978-0-9715001-7-4,pt,9,54192,932,2020-12-29,"Davis, Knight and Mann"
125,Polarized incremental middleware,Paul Yang,33,1-4853-4292-9,978-0-654-65203-9,ky,546,17465,470,2022-08-10,Flores Group
126,Polarized multi-tasking success,Jessica Charles,59,0-03-673480-2,978-1-60595-614-5,shs,590,69539,184,2020-06-10,"Wise, Woods and Foster"
127,Persistent responsive function,James Young,3,0-8124-6704-3,978-0-7827-6011-8,tig,41,62198,848,2020-01-26,Smith Group
128,Customer-focused tangible extranet,Raven Perez,1,1-75283-433-X,978-0-274-40655-5,be,118,66099,757,2021-04-15,"Green, Marshall and Brown"
129,Profound stable algorithm,Alex Owens,70,1-174-97579-2,978-1-257-38200-2,quz,391,8693,334,2020-03-05,Porter LLC
130,Implemented maximized moratorium,Andrea Mcdaniel,14,0-89360-502-6,978-0-679-41580-0,km,580,78970,852,2020-02-11,Forbes-Wilkerson
131,Expanded global knowledge user,Breanna Hill,83,1-67063-969-X,978-1-69602-236-1,om,766,78286,268,2022-10-24,Clayton-Howell
132,Quality-focused coherent portal,Thomas Mcgrath MD,44,0-219-38743-5,978-0-617-61233-9,aa,968,24849,216,2021-06-14,Ramirez-Herrera
133,Operative coherent analyzer,Pamela Morrison,59,0-553-40435-0,978-1-61830-918-1,iw,486,92736,187,2021-11-07,Bates-Hicks
134,Re-contextualized demand-driven benchmark,Michael Ruiz,51,1-892018-18-7,978-0-548-24968-0,hi,437,35187,303,2022-08-20,"Smith, Mann and Everett"
135,User-centric bi-directional knowledgebase,Patricia Nelson,0,1-342-58631-X,978-0-591-55603-2,cs,141,90671,914,2022-04-19,Smith LLC
136,Business-focused homogeneous methodology,Laurie Smith,60,0-7308-7688-8,978-0-497-66389-6,km,533,12491,18,2022-10-24,Lewis and Sons
137,Fully-configurable systemic success,Scott Warren,93,0-04-083878-1,978-1-379-43317-0,tl,246,13072,288,2022-12-14,Walls LLC
138,Advanced incremental attitude,Dennis Anderson,50,1-77293-824-6,978-0-566-01425-3,bn,937,87970,794,2020-05-30,Rodriguez Ltd
139,Innovative intangible algorithm,Nicholas Burke,97,1-155-07465-3,978-0-7288-9434-1,lij,620,40616,242,2022-10-28,"Collins, Anderson and Johnson"
140,Automated stable model,Andrew Miller,26,0-329-72477-0,978-1-5188-0385-7,ss,924,8333,631,2021-04-01,"Johnson, Salinas and Taylor"
141,Customizable web-enabled implementation,Justin Bass,36,0-7102-0791-3,978-1-58334-613-6,ff,707,92596,696,2020-04-02,Roberts-Lewis
142,Balanced attitude-oriented functionalities,Kristy Smith,10,0-396-53456-2,978-0-947033-01-9,nhn,344,8465,894,2021-04-12,Mcdaniel Ltd
143,Stand-alone 5thgeneration collaboration,Jacob Poole,91,0-04-180676-X,978-0-463-56188-1,da,401,9376,336,2021-08-04,"Williams, Ayala and Gonzales"
144,Integrated multimedia approach,William Murray,78,0-664-75231-4,978-0-328-49131-5,ce,516,44969,613,2022-03-19,"Cox, Compton and Parker"
145,Operative radical service-desk,Bradley Shaw,66,0-399-94982-8,978-0-87676-230-1,es,718,51578,761,2022-11-11,"Brown, Williams and Brooks"
146,Distributed hybrid infrastructure,Alexa Vega,82,1-82177-117-6,978-1-9766-5290-5,gd,193,30753,48,2021-10-30,"Harris, Haas and Johnson"
147,Programmable uniform hierarchy,Jill Beck,16,0-8001-4884-3,978-1-988909-15-8,da,566,10524,190,2022-05-26,Mcgee-Hernandez
148,Stand-alone regional matrix,Nathan Ayala,66,1-274-47912-6,978-1-57627-266-4,pap,521,3535,932,2022-09-13,Padilla-Robinson
149,Balanced maximized matrix,Zachary Gonzalez,76,0-369-26017-1,978-1-941581-42-1,id,733,76589,718,2021-03-12,Johnson-Brown
150,Right-sized reciprocal interface,Reginald Ramirez,7,1-07-261659-9,978-1-71980-576-6,eo,778,47836,817,2023-01-02,"Munoz, Rojas and Casey"
151,Up-sized interactive concept,Robert Frazier,77,1-80558-330-1,978-1-393-29229-6,sat,597,3519,285,2022-04-03,Stewart Inc
152,Robust system-worthy contingency,Robert Ibarra,18,0-04-575045-9,978-1-9874-4638-8,ia,593,50312,690,2022-12-21,Hudson-Kerr
153,Networked leadingedge neural-net,Justin Bailey,61,1-286-62530-0,978-1-59207-134-0,pa,286,48471,114,2020-11-24,"Walker, Chaney and Church"
154,Universal bi-directional functionalities,Kenneth Hughes,52,1-4754-9932-9,978-0-946325-93-1,ht,107,31263,707,2021-07-07,Bailey Inc
155,Synchronized national capability,Justin Benton,15,1-55163-060-5,978-1-03-733555-6,yi,948,25146,974,2020-11-28,Rich LLC
156,Devolved discrete service-desk,Ricardo Woodard,28,0-88578-429-4,978-1-4953-3472-6,et,881,28835,490,2021-04-23,"Snyder, Choi and Mahoney"
157,User-centric context-sensitive Graphic Interface,Dale Nichols,11,1-77786-987-0,978-1-03-262308-5,wo,505,57791,607,2021-08-30,Lin LLC
158,Expanded didactic matrix,Angela Manning,27,0-16-456107-2,978-1-9761-2482-2,gez,35,16853,74,2020-02-21,"Jackson, Young and Cortez"
159,Synchronized mobile circuit,Christopher Hunter,18,1-137-78350-8,978-1-292-75354-6,hi,171,12871,639,2020-09-12,Perez-Orozco
160,Multi-lateral discrete superstructure,Stephanie Snow,43,1-61417-588-8,978-0-306-93418-6,ik,41,44391,782,2020-03-29,"Christensen, Wang and Graham"
161,User-friendly contextually-based adapter,Amanda Payne,29,0-85340-619-7,978-0-08-340821-4,ast,158,4435,247,2021-12-15,"Rodriguez, Johnson and Kelly"
162,Total reciprocal infrastructure,Nancy Williams,48,0-7158-2348-5,978-0-333-33765-3,wae,810,39027,681,2020-12-18,Krueger and Sons
163,Vision-oriented fresh-thinking workforce,Isabel Garcia,98,1-56227-709-X,978-0-7324-3031-3,hr,609,15628,897,2021-06-08,Smith Group
164,Monitored user-facing process improvement,Bethany Murphy,60,1-340-67518-8,978-1-4132-8613-7,apn,994,69094,215,2020-03-10,"Williams, Holloway and Wolf"
165,Persistent reciprocal contingency,Gregory Rice,17,1-938189-41-8,978-1-4797-6592-8,nan,90,33528,286,2020-06-17,Fowler-Lara
166,Integrated bottom-line interface,Terry Wright,83,0-9883893-5-5,978-0-383-18168-8,hsb,325,85296,881,2022-03-31,"Mitchell, Miller and Rogers"
167,Enterprise-wide well-modulated focus group,Gerald Golden,28,0-258-25352-5,978-0-06-458940-6,sat,246,83326,438,2022-03-15,Robinson Inc
168,Synergistic demand-driven instruction set,James Moore,74,0-468-14814-0,978-1-9825-2219-3,ti,147,14541,352,2022-06-04,Taylor-Moss
169,Business-focused zero administration parallelism,Carrie Byrd,81,0-423-25260-7,978-0-300-85205-9,he,158,62813,371,2021-05-12,Holden-Boyd
170,Self-enabling local superstructure,Sarah Edwards,78,0-8493-4980-X,978-0-324-02581-1,az,879,6012,856,2021-07-07,"Valenzuela, Hartman and Quinn"
171,Devolved 6thgeneration open architecture,Mandy Castillo,40,1-79901-020-1,978-0-8278-0848-5,te,952,80060,0,2020-12-16,Day LLC
172,Mandatory didactic knowledgebase,David Ellis,89,0-85916-908-1,978-1-02-775095-6,ce,307,76813,877,2020-08-28,Fleming PLC
173,Integrated web-enabled leverage,Richard Short,24,0-406-32435-2,978-1-900914-90-1,wae,363,91086,562,2021-02-09,Guerrero-Wilson
174,Versatile static toolset,Dustin Aguilar Jr.,37,1-81587-754-5,978-1-79518-313-0,ta,266,26837,302,2020-10-07,Carr Inc
175,Sharable incremental process improvement,Jonathan Alvarez,64,1-384-84915-7,978-1-75139-358-0,et,27,12139,200,2021-06-27,Gates Inc
176,Down-sized reciprocal approach,Amy Keller,47,1-86273-103-9,978-0-396-03466-7,tn,369,18950,497,2020-06-19,Castillo-Higgins
177,Multi-lateral heuristic alliance,Andrew Robinson PhD,19,0-383-37604-1,978-0-587-52340-6,os,186,93226,280,2020-01-18,Duran-Mcfarland
178,Ameliorated local Graphic Interface,Carol Harper,88,0-9882145-1-2,978-1-181-12671-0,raj,335,81160,304,2020-10-01,"Martinez, Patrick and Harrison"
179,Fundamental optimizing time-frame,Alexander Hansen,4,0-508-24215-0,978-1-301-46843-0,kl,457,51575,759,2022-10-02,"Morrison, Gonzalez and Kaiser"
180,Fully-configurable 24hour neural-net,Kenneth Hawkins,46,1-84638-492-3,978-0-15-338884-2,ps,301,68106,141,2020-11-24,"Hernandez, Phillips and Stone"
181,Inverse web-enabled extranet,Stacy Phelps,8,1-349-60583-2,978-0-16-269284-8,zh,54,43730,700,2022-10-12,"Wheeler, Kline and Black"
182,Proactive tertiary secured line,Christopher Lee,62,1-71083-168-5,978-0-9836020-7-1,fr,660,1159,268,2022-09-01,Figueroa LLC
183,Quality-focused radical capability,Tracy Pace,40,0-08-617683-8,978-0-7841-2772-8,tcy,425,71567,172,2022-01-24,"Thompson, Thomas and Cochran"
184,Devolved needs-based middleware,James Marquez,10,1-77388-760-2,978-1-4676-9575-6,so,648,3469,629,2020-06-06,Richardson and Sons
185,Mandatory impactful contingency,Benjamin Riley,4,0-555-96502-3,978-1-949806-12-0,zh,967,81646,135,2020-11-30,Torres-Hunter
186,Advanced tertiary monitoring,Ashley Lopez,89,1-895641-41-1,978-1-5353-6196-5,el,318,37981,370,2022-07-26,"Fisher, Willis and Guzman"
187,Ameliorated next generation flexibility,Rebecca Castro,27,0-315-33750-8,978-0-03-720667-5,es,675,3066,879,2022-09-08,Ortiz Ltd
